count,forest,for_burns,fire_1617_any_fire,fire_1617_unplanned,fire_1617_planned,fire_1718_any_fire,fire_1718_unplanned,fire_1718_planned,fire_1819_any_fire,fire_1819_unplanned,fire_1819_planned,fire_1920_any_fire,fire_1920_unplanned,fire_1920_planned,fire_2021_any_fire,fire_2021_unplanned,fire_2021_planned,total_years_burned,total_unplanned_burns,total_planned_burns,always_burned,any_unplanned_fire,for_ten_MUF,for_ten_NCR,for_ten_ND,for_ten_OCL,for_ten_PRIV,for_ten_Unknown,for_catego_Native forest,for_catego_Non-forest,for_catego_Other forest,state_NSW,state_NT,state_Qld,state_SA,state_Tas,state_Unknown,state_Vic,state_WA
237,1,2,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,5,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
115,1,2,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,5,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
1,1,3,1,0,0,1,1,0,1,0,1,1,1,0,1,0,0,5,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
26,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,5,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
727,1,2,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,5,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
6,1,2,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,5,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
4062,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,5,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,5,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
63,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
5,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,5,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
